Gene	CHR	nSNP
OPHN1	X	10
OPLAH	8	2
OPN1SW	7	12
OPN3	1	9
OPN4	10	14
OPN5	6	4
OPRD1	1	4
OPRK1	8	9
OPRL1	20	12
OPRM1	6	35
OPTC	1	20
OPTN	10	14
OR10A2	11	9
OR10A3	11	23
OR10A4	11	17
OR10A5	11	12
OR10A6	11	16
OR10A7	12	16
OR10AB1P	11	1
OR10AD1	12	15
OR10AG1	11	16
OR10C1	6	21
OR10G2	14	10
OR10G3	14	19
OR10G4	11	8
OR10G7	11	6
OR10G8	11	10
OR10G9	11	10
OR10H1	19	2
OR10H2	19	9
OR10H3	19	15
OR10H4	19	17
OR10H5	19	5
OR10J1	1	14
OR10J3	1	15
OR10J5	1	11
OR10K1	1	12
OR10K2	1	13
OR10P1	12	13
OR10Q1	11	7
OR10R2	1	18
OR10S1	11	15
OR10T2	1	24
OR10V1	11	15
OR10W1	11	10
OR10X1	1	21
OR10Z1	1	17
OR11A1	6	10
OR11G2	14	12
OR11H4	14	17
OR11H6	14	22
OR11H7	14	1
OR11L1	1	19
OR12D2	6	19
OR12D3	6	9
OR13A1	10	17
OR13C2	9	3
OR13C3	9	20
OR13C4	9	18
OR13C5	9	12
OR13C8	9	15
OR13C9	9	6
OR13D1	9	7
OR13F1	9	19
OR13G1	1	14
OR13H1	X	10
OR13J1	9	10
OR14A16	1	10
OR14C36	1	11
OR14I1	1	24
OR14J1	6	8
OR1A1	17	11
OR1A2	17	10
OR1B1	9	21
OR1C1	1	11
OR1D2	17	8
OR1D5	17	1
OR1E1	17	2
OR1E2	17	3
OR1F1	16	15
OR1G1	17	10
OR1I1	19	19
OR1J1	9	7
OR1J2	9	13
OR1J4	9	10
OR1K1	9	17
OR1L1	9	17
OR1L3	9	17
OR1L4	9	6
OR1L6	9	8
OR1L8	9	11
OR1M1	19	15
OR1N1	9	11
OR1N2	9	13
OR1Q1	9	13
OR1S1	11	10
OR1S2	11	11
OR2A12	7	7
OR2A14	7	8
OR2A2	7	9
OR2A25	7	9
OR2A5	7	13
OR2AE1	7	16
OR2AG1	11	13
OR2AG2	11	11
OR2AK2	1	18
OR2AP1	12	3
OR2AT4	11	14
OR2B11	1	23
OR2B2	6	16
OR2B3	6	10
OR2B6	6	13
OR2C1	16	20
OR2C3	1	16
OR2D2	11	21
OR2D3	11	13
OR2F1	7	13
OR2F2	7	6
OR2G2	1	12
OR2G3	1	21
OR2G6	1	16
OR2H1	6	13
OR2H2	6	4
OR2J2	6	5
OR2J3	6	8
OR2K2	9	18
OR2L13	1	15
OR2L2	1	12
OR2L3	1	1
OR2L5	1	2
OR2M2	1	4
OR2M3	1	6
OR2M4	1	7
OR2M5	1	7
OR2M7	1	5
OR2S2	9	17
OR2T1	1	15
OR2T11	1	1
OR2T12	1	2
OR2T2	1	2
OR2T27	1	2
OR2T3	1	3
OR2T34	1	1
OR2T35	1	1
OR2T4	1	9
OR2T5	1	1
OR2T6	1	15
OR2T8	1	5
OR2V1	5	2
OR2V2	5	8
OR2W1	6	4
OR2W3	1	17
OR2Y1	5	15
OR2Z1	19	18
OR3A1	17	14
OR3A2	17	3
OR3A3	17	2
OR4A15	11	20
OR4A16	11	52
OR4A47	11	4
OR4A5	11	11
OR4B1	11	25
OR4C11	11	1
OR4C12	11	7
OR4C13	11	5
OR4C15	11	24
OR4C16	11	27
OR4C3	11	20
OR4C46	11	5
OR4C5	11	1
OR4C6	11	20
OR4D1	17	10
OR4D10	11	5
OR4D11	11	7
OR4D2	17	13
OR4D5	11	19
OR4D6	11	34
OR4D9	11	12
OR4E2	14	20
OR4F15	15	15
OR4F6	15	16
OR4K1	14	19
OR4K13	14	19
OR4K14	14	11
OR4K15	14	7
OR4K17	14	10
OR4K2	14	17
OR4K5	14	22
OR4L1	14	21
OR4M1	14	9
OR4M2	15	12
OR4N2	14	5
OR4N4	15	5
OR4N5	14	16
OR4Q3	14	6
OR4S1	11	16
OR4S2	11	3
OR4X1	11	17
OR4X2	11	14
OR51A2	11	3
OR51A4	11	2
OR51A7	11	10
OR51B2	11	13
OR51B4	11	26
OR51B5	11	23
OR51B6	11	28
OR51D1	11	15
OR51E1	11	18
OR51E2	11	12
OR51F1	11	20
OR51F2	11	14
OR51G1	11	29
OR51G2	11	17
OR51I1	11	23
OR51I2	11	14
OR51L1	11	18
OR51M1	11	20
OR51Q1	11	23
OR51S1	11	20
OR51T1	11	9
OR51V1	11	18
OR52A1	11	12
OR52A5	11	16
OR52B2	11	15
OR52B4	11	10
OR52B6	11	14
OR52D1	11	14
OR52E2	11	18
OR52E4	11	17
OR52E6	11	24
OR52E8	11	2
OR52H1	11	27
OR52I1	11	5
OR52I2	11	6
OR52J3	11	23
OR52K1	11	9
OR52K2	11	14
OR52L1	11	12
OR52M1	11	25
OR52N1	11	11
OR52N2	11	22
OR52N4	11	21
OR52R1	11	21
OR52W1	11	16
OR56A1	11	5
OR56A3	11	6
OR56A4	11	10
OR56B1	11	18
OR56B4	11	12
OR5A1	11	19
OR5A2	11	8
OR5AC2	3	11
OR5AK2	11	14
OR5AN1	11	8
OR5AP2	11	8
OR5AR1	11	14
OR5AS1	11	24
OR5AU1	14	21
OR5B12	11	15
OR5B17	11	20
OR5B2	11	11
OR5B21	11	14
OR5B3	11	14
OR5C1	9	14
OR5D13	11	11
OR5D14	11	19
OR5D16	11	6
OR5D18	11	13
OR5F1	11	9
OR5H1	3	3
OR5H14	3	6
OR5H15	3	5
OR5H2	3	16
OR5H6	3	8
OR5I1	11	17
OR5J2	11	16
OR5K1	3	5
OR5K2	3	4
OR5K3	3	13
OR5K4	3	16
OR5L1	11	8
OR5L2	11	9
OR5M1	11	9
OR5M10	11	7
OR5M11	11	14
OR5M3	11	13
OR5M8	11	10
OR5M9	11	18
OR5P2	11	1
OR5P3	11	14
OR5R1	11	22
OR5T1	11	15
OR5T2	11	13
OR5T3	11	9
OR5V1	6	16
OR5W2	11	17
OR6A2	11	20
OR6B1	7	17
OR6B2	2	6
OR6B3	2	9
OR6C1	12	18
OR6C2	12	10
OR6C3	12	14
OR6C4	12	18
OR6C6	12	20
OR6C65	12	5
OR6C68	12	15
OR6C70	12	13
OR6C74	12	13
OR6C75	12	10
OR6C76	12	8
OR6F1	1	13
OR6J1	14	1
OR6K2	1	26
OR6K3	1	19
OR6K6	1	20
OR6M1	11	15
OR6N1	1	17
OR6N2	1	13
OR6P1	1	16
OR6Q1	11	17
OR6S1	14	22
OR6T1	11	18
OR6V1	7	16
OR6X1	11	14
OR6Y1	1	28
OR7A10	19	13
OR7A17	19	8
OR7A2P	19	1
OR7A5	19	15
OR7C1	19	14
OR7C2	19	11
OR7D2	19	11
OR7D4	19	3
OR7E24	19	8
OR7G1	19	18
OR7G2	19	13
OR7G3	19	14
OR8A1	11	15
OR8B12	11	9
OR8B2	11	6
OR8B3	11	2
OR8B4	11	7
OR8B8	11	12
OR8D1	11	16
OR8D2	11	11
OR8D4	11	26
OR8H1	11	12
OR8H2	11	12
OR8H3	11	6
OR8I2	11	24
OR8J1	11	10
OR8J3	11	10
OR8K1	11	20
OR8K3	11	15
OR8K5	11	17
OR8S1	12	20
OR8U1	11	25
OR9A2	7	12
OR9A4	7	6
OR9G1	11	16
OR9G4	11	17
OR9I1	11	10
OR9K2	12	14
OR9Q1	11	18
OR9Q2	11	8
ORAI1	12	1
ORAI2	7	4
ORAI3	16	5
ORAOV1	11	4
ORC1	1	29
ORC2	2	5
ORC3	6	23
ORC4	2	15
ORC5	7	16
ORC6	16	6
ORM1	9	4
ORM2	9	7
ORMDL1	2	2
ORMDL2	12	2
ORMDL3	17	3
OS9	12	14
OSBP	11	11
OSBP2	22	17
OSBPL10	3	16
OSBPL11	3	9
OSBPL1A	18	30
OSBPL2	20	8
OSBPL3	7	21
OSBPL5	11	28
OSBPL6	2	18
OSBPL7	17	14
OSBPL8	12	15
OSBPL9	1	13
OSCAR	19	5
OSCP1	1	14
OSGEP	14	10
OSGEPL1	2	6
OSGIN1	16	29
OSGIN2	8	8
OSM	22	8
OSMR	5	39
OSR1	2	2
OSR2	8	3
OSTC	4	2
OSTF1	9	2
OSTM1	6	6
OSTN	3	2
OTC	X	11
OTOA	16	14
OTOF	2	84
OTOG	11	2
OTOGL	12	84
OTOL1	3	13
OTOP1	4	10
OTOP2	17	18
OTOP3	17	39
OTOR	20	3
OTOS	2	3
OTP	5	3
OTUB1	11	1
OTUB2	14	6
OTUD1	10	1
OTUD3	1	10
OTUD4	4	12
OTUD5	X	1
OTUD6A	X	3
OTUD6B	8	9
OTUD7A	15	6
OTUD7B	1	11
OTX1	2	2
OTX2	14	3
OVCA2	17	4
OVCH1	12	47
OVCH2	11	28
OVGP1	1	28
OVOL1	11	7
OVOL2	20	1
OXA1L	14	17
OXCT1	5	9
OXCT2	1	1
OXER1	2	22
OXGR1	13	6
OXLD1	17	4
OXNAD1	3	15
OXR1	8	23
OXSM	3	11
OXSR1	3	5
OXTR	3	12
P2RX1	17	10
P2RX2	12	18
P2RX3	11	9
P2RX4	12	12
P2RX5	17	16
P2RX6	22	15
P2RX7	12	46
P2RY1	3	2
P2RY10	X	2
P2RY11	19	19
P2RY12	3	5
P2RY13	3	6
P2RY14	3	11
P2RY2	11	14
P2RY4	X	15
P2RY6	11	9
P2RY8	X	1
P4HA1	10	6
P4HA2	5	19
P4HA3	11	19
P4HB	17	12
P4HTM	3	9
PA2G4	12	2
PAAF1	11	12
PABPC1	8	27
PABPC1L	20	15
PABPC3	13	18
PABPC4	1	2
PABPC4L	4	10
PABPC5	X	3
PABPN1	14	2
PABPN1L	16	8
PACRG	6	4
PACRGL	4	8
PACS1	11	9
PACS2	14	12
PACSIN1	6	8
PACSIN2	22	5
PACSIN3	11	11
PADI1	1	29
PADI2	1	23
PADI3	1	40
PADI4	1	33
PADI6	1	3
PAEP	9	2
PAF1	19	6
PAFAH1B1	17	2
PAFAH1B2	11	4
PAFAH1B3	19	2
PAFAH2	1	21
PAG1	8	12
PAGE1	X	5
PAGE2	X	2
PAGE3	X	1
PAGE4	X	1
PAGE5	X	1
PAH	12	50
PAICS	4	9
PAIP1	5	2
PAIP2	5	2
PAIP2B	2	2
PAK1	11	4
PAK1IP1	6	8
PAK3	X	3
PAK4	19	9
PAK6	15	21
PAK7	20	16
PALB2	16	37
PALD1	10	41
PALLD	4	33
PALM	19	8
PALM2	9	14
PALM2-AKAP2	9	35
PALM3	19	10
PALMD	1	18
PAM	5	25
PAM16	16	5
PAMR1	11	39
PAN2	12	25
PAN3	13	5
PANK1	10	8
PANK2	20	11
PANK3	5	4
PANK4	1	12
PANX1	11	17
PANX2	22	4
PANX3	11	15
PAOX	10	9
PAPD4	5	9
PAPD5	16	1
PAPD7	5	5
PAPLN	14	60
PAPOLA	14	3
PAPOLB	7	14
PAPOLG	2	10
PAPPA	9	39
PAPPA-AS1	9	1
PAPPA2	1	44
PAPSS1	4	13
PAPSS2	10	12
PAQR3	4	4
PAQR4	16	6
PAQR5	15	6
PAQR6	1	6
PAQR7	1	13
PAQR8	6	7
PAQR9	3	2
PARD3	10	26
PARD3B	2	50
PARD6A	16	4
PARD6B	20	7
PARD6G	18	2
PARG	10	3
PARK2	6	31
PARK7	1	4
PARL	3	10
PARM1	4	10
PARN	16	17
PARP1	1	22
PARP10	8	30
PARP11	12	5
PARP12	7	16
PARP14	3	20
PARP15	3	27
PARP16	15	10
PARP2	14	19
PARP3	3	24
PARP4	13	55
PARP6	15	2
PARP8	5	14
PARP9	3	19
PARPBP	12	19
PARS2	1	14
PARVA	11	6
PARVB	22	20
PARVG	22	10
PASD1	X	31
PASK	2	60
PATE1	11	8
PATE2	11	2
PATE3	11	1
PATE4	11	5
PATL1	11	10
PATL2	15	12
PATZ1	22	7
PAWR	12	6
PAX1	20	5
PAX2	10	2
PAX3	2	14
PAX4	7	19
PAX5	9	9
PAX6	11	2
PAX7	1	11
PAX8	2	15
PAX9	14	2
PAXIP1	7	10
PBK	8	11
PBLD	10	14
PBOV1	6	8
PBRM1	3	19
PBX1	1	1
PBX2	6	3
PBX3	9	4
PBX4	19	13
PBXIP1	1	22
PC	11	18
PCBD1	10	3
PCBP1	2	1
PCBP3	21	4
PCBP4	3	8
PCCA	13	19
PCCB	3	24
PCDH1	5	21
PCDH10	4	11
PCDH11X	X	4
PCDH12	5	46
PCDH15	10	90
PCDH17	13	11
PCDH18	4	21
PCDH19	X	10
PCDH20	13	22
PCDH7	4	16
PCDH8	13	16
PCDH9	13	19
PCDHA1	5	19
PCDHA10	5	5
PCDHA11	5	14
PCDHA12	5	12
PCDHA13	5	14
PCDHA2	5	16
PCDHA3	5	10
PCDHA4	5	13
PCDHA5	5	16
PCDHA6	5	10
PCDHA7	5	18
PCDHA8	5	10
PCDHA9	5	11
PCDHAC1	5	34
PCDHAC2	5	16
PCDHB1	5	21
PCDHB10	5	14
PCDHB11	5	21
PCDHB12	5	20
PCDHB13	5	12
PCDHB14	5	15
PCDHB15	5	13
PCDHB16	5	17
PCDHB2	5	11
PCDHB3	5	22
PCDHB4	5	14
PCDHB5	5	13
PCDHB6	5	21
PCDHB7	5	17
PCDHB8	5	11
PCDHGA1	5	18
PCDHGA10	5	15
PCDHGA11	5	23
PCDHGA12	5	18
PCDHGA2	5	28
PCDHGA3	5	15
PCDHGA4	5	18
PCDHGA5	5	22
PCDHGA6	5	10
PCDHGA7	5	21
PCDHGA8	5	22
PCDHGA9	5	21
PCDHGB1	5	16
PCDHGB2	5	17
PCDHGB3	5	25
PCDHGB4	5	13
PCDHGB6	5	17
PCDHGB7	5	13
PCDHGC3	5	9
PCDHGC4	5	13
PCDHGC5	5	16
PCED1A	20	12
PCED1B	12	9
PCF11	11	22
PCGF1	2	5
PCGF2	17	3
PCGF3	4	3
PCGF5	10	2
PCGF6	10	7
PCID2	13	9
PCIF1	20	12
PCK1	20	32
PCK2	14	38
PCLO	7	110
PCM1	8	73
PCMT1	6	5
PCMTD1	8	3
PCMTD2	20	10
PCNA	20	1
PCNP	3	5
PCNT	21	156
PCNX	14	46
PCNXL2	1	68
PCNXL3	11	35
PCNXL4	14	33
PCOLCE	7	14
PCOLCE2	3	21
PCP2	19	9
PCP4L1	1	2
PCSK1	5	23
PCSK2	20	7
PCSK4	19	28
PCSK5	9	39
PCSK6	15	19
PCSK7	11	13
PCSK9	1	190
PCTP	17	16
PCYOX1	2	15
PCYOX1L	5	6
PCYT1A	3	10
PCYT1B	X	1
PCYT2	17	9
PDAP1	7	4
PDC	1	3
PDCD1	2	7
PDCD10	3	1
PDCD11	10	55
PDCD1LG2	9	13
PDCD2	6	8
PDCD2L	19	8
PDCD4	10	8
PDCD5	19	2
PDCD6	5	5
PDCD6IP	3	16
PDCD7	15	4
PDCL	9	6
PDCL2	4	3
PDCL3	2	5
PDDC1	11	3
PDE10A	6	7
PDE11A	2	42
PDE12	3	6
PDE1A	2	6
PDE1B	12	5
PDE1C	7	23
PDE2A	11	9
PDE3A	12	22
PDE3B	11	14
PDE4A	19	16
PDE4B	1	10
PDE4C	19	15
PDE4D	5	7
PDE4DIP	1	99
PDE5A	4	20
PDE6A	5	48
PDE6B	4	28
PDE6C	10	28
PDE6D	2	2
PDE6G	17	3
PDE6H	12	3
PDE7A	8	8
PDE7B	6	7
PDE8A	15	17
PDE8B	5	9
PDE9A	21	23
PDF	16	2
PDGFA	7	2
PDGFB	22	9
PDGFC	4	3
PDGFD	11	8
PDGFRA	4	23
PDGFRB	5	30
PDGFRL	8	21
PDHA1	X	5
PDHA2	4	18
PDHB	3	11
PDHX	11	20
PDIA2	16	35
PDIA3	15	4
PDIA4	7	26
PDIA5	3	17
PDIA6	2	8
PDIK1L	1	1
PDILT	16	42
PDK1	2	12
PDK2	17	8
PDK3	X	5
PDK4	7	7
PDLIM1	10	4
PDLIM2	8	9
PDLIM3	4	5
PDLIM4	5	7
PDLIM5	4	20
PDLIM7	5	20
PDP1	8	5
PDP2	16	15
PDPK1	16	4
PDPN	1	9
PDPR	16	15
PDRG1	20	7
PDS5A	4	8
PDS5B	13	14
PDSS1	10	8
PDSS2	6	13
PDX1	13	1
PDXDC1	16	18
PDXK	21	7
PDXP	22	3
PDYN	20	10
PDZD11	X	1
PDZD2	5	89
PDZD3	11	24
PDZD4	X	5
PDZD7	10	14
PDZD8	10	19
PDZD9	16	2
PDZK1	1	2
PDZK1IP1	1	6
PDZRN3	3	14
PDZRN4	12	33
PEA15	1	2
PEAK1	15	33
PEAR1	1	21
PEBP1	12	2
PEBP4	8	16
PECR	2	12
PEF1	1	6
PEG10	7	2
PEG3	19	86
PELI1	2	4
PELI2	14	9
PELI3	11	8
PELO	5	3
PELP1	17	19
PEMT	17	10
PENK	8	8
PEPD	19	24
PER1	17	28
PER2	2	43
PER3	1	49
PERP	6	9
PES1	22	13
PET100	19	3
PET112	4	30
PET117	20	2
PEX1	7	36
PEX10	1	9
PEX11A	15	9
PEX11B	1	3
PEX11G	19	13
PEX12	17	11
PEX13	2	11
PEX14	1	12
PEX16	11	9
PEX19	1	9
PEX2	8	7
PEX26	22	12
PEX3	6	7
PEX5	12	22
PEX5L	3	11
PEX6	6	27
PEX7	6	8
PF4	4	1
PF4V1	4	3
PFAS	17	46
PFDN1	5	1
PFDN2	1	2
PFDN4	20	2
PFDN5	12	3
PFDN6	6	1
PFKFB1	X	16
PFKFB2	1	12
PFKFB3	10	10
PFKFB4	3	10
PFKL	21	20
PFKM	12	14
PFKP	10	22
PFN1	17	1
PFN4	2	6
PGAM1	10	1
PGAM2	7	12
PGAM5	12	5
PGAP1	2	18
PGAP2	11	8
PGAP3	17	11
PGBD1	6	30
PGBD2	1	16
PGBD3	10	11
PGBD4	15	10
PGBD5	1	8
PGC	6	12
PGD	1	3
PGF	14	5
PGGT1B	5	3
PGK1	X	5
PGK2	6	21
PGLS	19	11
PGLYRP1	19	9
PGLYRP2	19	18
PGLYRP3	1	27
PGLYRP4	1	25
PGM1	1	19
PGM2	4	26
PGM2L1	11	13
PGM3	6	16
PGM5	9	9
PGP	16	3
PGPEP1	19	3
PGPEP1L	15	11
PGR	11	13
PGRMC1	X	4
PGRMC2	4	3
PGS1	17	8
PHACTR1	6	1
PHACTR2	6	15
PHACTR3	20	18
PHACTR4	1	21
PHAX	5	13
PHB2	12	1
PHC1	12	6
PHC2	1	16
PHC3	3	16
PHEX	X	3
PHF1	6	7
PHF10	6	6
PHF11	13	6
PHF12	17	9
PHF13	1	1
PHF14	7	10
PHF15	5	17
PHF16	X	7
PHF17	4	13
PHF19	9	12
PHF2	9	16
PHF20	20	10
PHF20L1	8	13
PHF21A	11	8
PHF21B	22	15
PHF23	17	3
PHF3	6	52
PHF6	X	1
PHF7	3	8
PHF8	X	4
PHGDH	1	14
PHIP	6	11
PHKA1	X	13
PHKA2	X	22
PHKB	16	35
PHKG1	7	12
PHKG2	16	5
PHLDA1	12	9
PHLDA2	11	1
PHLDA3	1	5
PHLDB1	11	40
PHLDB2	3	36
PHLDB3	19	27
PHLPP1	18	18
PHLPP2	16	36
PHOSPHO1	17	2
PHOSPHO2	2	6
PHPT1	9	7
PHRF1	11	39
PHTF1	1	20
PHTF2	7	11
PHYH	10	16
PHYHD1	9	23
PHYHIP	8	3
PHYHIPL	10	3
PI15	8	7
PI16	6	16
PI3	20	7
PI4K2A	10	16
PI4K2B	4	7
PI4KA	22	16
PI4KB	1	6
PIANP	12	3
PIAS1	15	2
PIAS2	18	6
PIAS3	1	16
PIAS4	19	6
PIBF1	13	23
PICALM	11	6
PICK1	22	5
PID1	2	4
PIDD	11	25
PIEZO1	16	56
PIEZO2	18	34
PIF1	15	24
PIGA	X	3
PIGB	15	11
PIGC	1	9
PIGF	2	4
PIGG	4	42
PIGH	14	2
PIGK	1	10
PIGL	17	7
PIGM	1	7
PIGN	18	19
PIGO	9	17
PIGP	21	11
PIGQ	16	26
PIGR	1	20
PIGS	17	15
PIGT	20	14
PIGU	20	11
PIGV	1	11
PIGW	17	12
PIGX	3	5
PIGY	4	3
PIGZ	3	24
PIH1D1	19	8
PIH1D2	11	8
PIH1D3	X	1
PIK3AP1	10	24
PIK3C2A	11	32
PIK3C2B	1	47
PIK3C2G	12	58
PIK3C3	18	13
PIK3CA	3	5
PIK3CB	3	9
PIK3CD	1	14
PIK3CG	7	19
PIK3IP1	22	9
PIK3R1	5	11
PIK3R2	19	8
PIK3R3	1	13
PIK3R4	3	21
PIK3R5	17	20
PIK3R6	17	2
PIKFYVE	2	32
PILRA	7	7
PILRB	7	9
PIM1	6	6
PIM2	X	2
PIM3	22	5
PIN1	19	1
PIN4	X	4
PINK1	1	27
PINLYP	19	1
PINX1	8	16
PION	7	25
PIP	7	10
PIP4K2A	10	6
PIP4K2B	17	3
PIP4K2C	12	8
PIP5K1A	1	6
PIP5K1B	9	11
PIP5K1C	19	7
PIP5KL1	9	9
PIPOX	17	11
PIR	X	12
PIRT	17	6
PISD	22	15
PITHD1	1	1
PITPNA	17	3
PITPNC1	17	1
PITPNM1	11	25
PITPNM2	12	18
PITPNM3	17	17
PITRM1	10	49
PITX1	5	4
PITX2	4	3
PIWIL1	12	12
PIWIL2	8	30
PIWIL3	22	63
PIWIL4	11	26
PJA1	X	10
PJA2	5	20
PKD1	16	31
PKD1L1	7	126
PKD1L2	16	196
PKD1L3	16	4
PKD2	4	18
PKD2L1	10	43
PKD2L2	5	16
PKDCC	2	11
PKDREJ	22	67
PKHD1	6	160
PKHD1L1	8	172
PKIB	6	2
PKLR	1	19
PKM	15	5
PKMYT1	16	12
PKN1	19	15
PKN2	1	6
PKN3	9	30
PKNOX1	21	7
PKNOX2	11	2
PKP1	1	31
PKP2	12	223
PKP3	11	25
PKP4	2	35
PLA1A	3	18
PLA2G10	16	2
PLA2G12A	4	3
PLA2G12B	10	2
PLA2G15	16	7
PLA2G16	11	6
PLA2G1B	12	5
PLA2G2A	1	4
PLA2G2C	1	4
PLA2G2D	1	9
PLA2G2E	1	5
PLA2G2F	1	8
PLA2G3	22	25
PLA2G4A	1	9
PLA2G4B	15	37
PLA2G4C	19	32
PLA2G4D	15	40
PLA2G4E	15	27
PLA2G4F	15	45
PLA2G5	1	1
PLA2G6	22	24
PLA2G7	6	34
PLA2R1	2	66
PLAA	9	14
PLAC1	X	3
PLAC1L	11	3
PLAC8	4	2
PLAC8L1	5	8
PLAC9	10	9
PLAG1	8	5
PLAGL1	6	9
PLAGL2	20	4
PLAT	8	21
PLAU	10	9
PLAUR	19	14
PLB1	2	99
PLBD1	12	16
PLBD2	12	14
PLCB1	20	23
PLCB2	15	27
PLCB3	11	17
PLCB4	20	20
PLCD1	3	23
PLCD3	17	6
PLCD4	2	21
PLCE1	10	56
PLCG1	20	18
PLCG2	16	36
PLCH1	3	31
PLCH2	1	18
PLCL1	2	19
PLCL2	3	10
PLCXD1	X	1
PLCXD2	3	8
PLCXD3	5	4
PLCZ1	12	13
PLD1	3	37
PLD2	17	39
PLD3	19	10
PLD4	14	13
PLD5	1	7
PLD6	17	2
PLEC	8	159
PLEK	2	12
PLEK2	14	12
PLEKHA1	10	13
PLEKHA2	8	10
PLEKHA3	2	4
PLEKHA4	19	29
PLEKHA5	12	15
PLEKHA6	1	29
PLEKHA7	11	35
PLEKHA8	7	9
PLEKHB1	11	7
PLEKHB2	2	10
PLEKHD1	14	6
PLEKHF1	19	7
PLEKHG1	6	46
PLEKHG2	19	46
PLEKHG3	14	42
PLEKHG4	16	34
PLEKHG4B	5	60
PLEKHG5	1	27
PLEKHG6	12	36
PLEKHG7	12	19
PLEKHH1	14	41
PLEKHH2	2	42
PLEKHH3	17	5
PLEKHJ1	19	8
PLEKHM1	17	2
PLEKHM2	1	22
PLEKHM3	2	13
PLEKHN1	1	37
PLEKHO1	1	11
PLEKHO2	15	25
PLEKHS1	10	13
PLG	6	29
PLGRKT	9	6
PLIN1	15	19
PLIN2	9	11
PLIN3	19	17
PLIN4	19	52
PLIN5	19	10
PLK1	16	12
PLK1S1	20	1
PLK2	5	7
PLK3	1	12
PLK4	4	15
PLK5	19	5
PLLP	16	5
PLN	6	1
PLOD1	1	22
PLOD2	3	19
PLOD3	7	22
PLP2	X	5
PLRG1	4	9
PLS1	3	19
PLS3	X	3
PLSCR1	3	9
PLSCR2	3	9
PLSCR3	17	4
PLSCR4	3	23
PLSCR5	3	8
PLTP	20	10
PLVAP	19	12
PLXDC1	17	15
PLXDC2	10	12
PLXNA1	3	16
PLXNA2	1	43
PLXNA3	X	41
PLXNA4	7	46
PLXNB1	3	36
PLXNB2	22	49
PLXNB3	X	31
PLXNC1	12	18
PLXND1	3	52
PM20D1	1	22
PM20D2	6	6
PMCH	12	4
PMEL	12	26
PMEPA1	20	4
PMF1	1	16
PMFBP1	16	41
PML	15	33
PMM1	22	6
PMM2	16	15
PMP2	8	6
PMP22	17	3
PMPCA	9	13
PMPCB	7	20
PMS1	2	33
PMS2	7	237
PMVK	1	8
PNISR	6	20
PNKD	2	11
PNKP	19	15
PNLDC1	6	15
PNLIP	10	5
PNLIPRP1	10	20
PNLIPRP2	10	17
PNLIPRP3	10	22
PNMA1	14	4
PNMA2	8	10
PNMA3	X	12
PNMA5	X	12
PNMAL1	19	15
PNMAL2	19	7
PNMT	17	13
PNN	14	19
PNO1	2	13
PNOC	8	3
PNP	14	6
PNPLA1	6	21
PNPLA2	11	14
PNPLA3	22	141
PNPLA4	X	7
PNPLA5	22	128
PNPLA6	19	13
PNPLA7	9	64
PNPLA8	7	12
PNPO	17	9
PNPT1	2	22
PNRC1	6	3
POC1A	3	22
POC1B	12	16
POC1B-GALNT4	12	14
POC5	5	21
PODN	1	25
PODNL1	19	16
PODXL	7	26
PODXL2	3	17
POF1B	X	14
POFUT1	20	11
POFUT2	21	16
POGK	1	12
POGLUT1	3	11
POGZ	1	14
POLA1	X	10
POLA2	11	22
POLB	8	9
POLD1	19	27
POLD2	7	7
POLD3	11	9
POLD4	11	4
POLDIP3	22	13
POLE	12	72
POLE2	14	8
POLE3	9	3
POLE4	2	1
POLG	15	44
POLG2	17	17
POLH	6	22
POLI	18	30
POLK	5	22
POLL	10	16
POLM	7	8
POLN	4	45
POLQ	3	98
POLR1A	2	36
POLR1B	2	20
POLR1C	6	20
POLR1D	13	2
POLR1E	9	17
POLR2A	17	4
POLR2B	4	7
POLR2C	16	2
POLR2D	2	2
POLR2E	19	8
POLR2F	22	1
POLR2H	3	2
POLR2K	8	1
POLR2M	15	5
POLR3A	10	26
POLR3B	12	19
POLR3C	1	15
POLR3D	8	5
POLR3E	16	15
POLR3F	20	5
POLR3G	5	5
POLR3GL	1	4
POLR3H	22	6
POLR3K	16	4
POLRMT	19	11
POM121	7	1
POM121C	7	1
POM121L12	7	16
POM121L2	6	24
POMC	2	6
POMGNT1	1	18
POMP	13	3
POMT1	9	31
POMT2	14	23
POMZP3	7	1
PON1	7	26
PON2	7	14
PON3	7	18
POP1	8	35
POP4	19	8
POP5	12	3
POP7	7	2
POPDC2	3	11
POPDC3	6	8
POR	7	19
PORCN	X	3
POSTN	13	23
POT1	7	6
POTEA	8	2
POTEC	18	1
POTEF	2	1
POU1F1	3	4
POU2AF1	11	5
POU2F1	1	6
POU2F2	19	2
POU2F3	11	15
POU3F4	X	2
POU4F1	13	2
POU4F2	4	6
POU4F3	5	7
POU5F1	6	2
POU5F1B	8	1
POU5F2	5	2
POU6F1	12	3
POU6F2	7	16
PP2D1	3	5
PPA1	10	1
PPA2	4	11
PPAN	19	37
PPAN-P2RY11	19	43
PPAP2A	5	7
PPAP2B	1	8
PPAP2C	19	16
PPAPDC1A	10	6
PPAPDC1B	8	8
PPAPDC2	9	5
PPAPDC3	9	9
PPARA	22	11
PPARD	6	3
PPARG	3	6
PPARGC1A	4	19
PPARGC1B	5	43
PPAT	4	2
